Noise level (%RMS),Train - SNR (Noisy/Gt),Train - SNR (Cleaned/Gt),Train - SDSDR (Noisy/Gt),Train - SDSDR (Cleaned/Gt),Train - MultiResMel (Noisy/Gt),Train - MultiResMel (Cleaned/Gt),Train - MSE (Noisy/Gt),Train - MSE (Cleaned/Gt),Test - SNR (Noisy/Gt),Test - SNR (Cleaned/Gt),Test - SDSDR (Noisy/Gt),Test - SDSDR (Cleaned/Gt),Test - MultiResMel (Noisy/Gt),Test - MultiResMel (Cleaned/Gt),Test - MSE (Noisy/Gt),Test - MSE (Cleaned/Gt)
0.01,-2.6076458054658094,-2.456329808382379,-2.5577503526456513,-1.6173883911214162,2.5996590073834636,2.5904717159546737,0.02496800057306071,0.024383072910537696,-2.6266044428804625,-2.526659856820298,-2.626276014050531,-1.8136105319444529,2.824821129697295,2.810702403932639,0.02291865891062009,0.022298033044773066
0.02,3.3126154123562057,3.052315222351244,3.5671616834392226,4.44319551703068,3.7335630357075864,3.676787901380591,0.08725508309612658,0.0839889462566951,3.3942311255246365,3.1083014404650817,3.3918496549197763,4.13538030851611,4.04798160522391,3.98589927729599,0.09171589710508177,0.08796368850492414
0.05,9.976932004264503,9.581097525465422,11.891320636791496,13.028430209782973,6.148573065338009,6.022663316067405,0.2922571238604517,0.2785834014181756,11.353087107340494,10.914004594599668,11.353357652618303,12.302106903181043,7.052009498403927,6.900181730997931,0.573152293537359,0.5431059801037096
0.1,12.81703711254374,12.427652737187628,17.944225317710742,19.448419625165428,8.555899222095226,8.366918659126116,0.4995236456298847,0.4755461466567533,17.37446880012853,16.906242208928724,17.37023634544626,18.52472474839952,11.47999742514489,11.197457779996856,2.293031727774229,2.164898879049704
0.2,13.608071910423883,13.260672971639702,23.30186492181155,25.338814930418913,11.157368078382284,10.903335223955395,0.6822498979329017,0.6499071150326131,23.395799477348895,22.91794236610299,23.411512543109136,24.730936006718622,19.77705743250022,19.242368122419816,9.165880854137045,8.640260618231085
0.5,12.600850213620745,12.354954362041854,29.549472654968564,32.95807494903615,14.439400337991982,14.111955632000237,0.8472303808871442,0.8081089208701545,31.352785359543212,30.871884760031858,31.42589388844074,32.84420646807309,43.654887366540656,42.371052321426376,57.310969199063976,53.99879115234851
